pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
149.98,-82.5,180.0,top,C1,,,C_0402_1005Metric,100nF,smt
160.0,-90.5,135.0,top,C2,,,C_0402_1005Metric,100nF,smt
163.5,-100.88,90.0,top,C3,,,C_0402_1005Metric,100nF,smt
160.305546,-111.194454,45.0,top,C4,,,C_0402_1005Metric,100nF,smt
150.02,-119.5,0.0,top,C5,,,C_0402_1005Metric,100nF,smt
139.739411,-111.339411,-45.0,top,C6,,,C_0402_1005Metric,100nF,smt
136.6,-100.98,-90.0,top,C7,,,C_0402_1005Metric,100nF,smt
139.75,-90.75,-135.0,top,C8,,,C_0402_1005Metric,100nF,smt
166.0,-103.525,180.0,top,East1,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
143.0,-106.0,0.0,top,J1,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01,tht
157.0,-106.0,0.0,top,J2,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01,tht
152.525,-85.0,-90.0,top,North1,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
163.75,-90.75,-135.0,top,NorthEast1,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
139.796051,-87.203949,-45.0,top,NorthWest1,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
148.0,-82.5,180.0,top,R1,,,R_0402_1005Metric,10k,smt
158.5,-89.0,135.0,top,R2,,,R_0402_1005Metric,10k,smt
163.5,-98.89,90.0,top,R3,,,R_0402_1005Metric,10k,smt
161.639376,-109.860624,45.0,top,R4,,,R_0402_1005Metric,10k,smt
152.0,-119.5,0.0,top,R5,,,R_0402_1005Metric,10k,smt
141.160624,-112.760624,-45.0,top,R6,,,R_0402_1005Metric,10k,smt
136.6,-103.0,-90.0,top,R7,,,R_0402_1005Metric,10k,smt
138.389376,-92.110624,-135.0,top,R8,,,R_0402_1005Metric,10k,smt
143.65,-111.0,-90.0,bottom,SIG1,,,PinHeader_1x06_P2.54mm_Vertical,Conn_01x06,tht
146.2,-89.125,0.0,top,SN74HC165,,,DIP-16_W7.62mm,Conn_02x08_Counter_Clockwise,tht
147.475,-117.0,90.0,top,South1,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
160.203949,-114.796051,135.0,top,SouthEast1,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
136.203949,-111.203949,45.0,top,SouthWest1,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
134.0,-98.475,0.0,top,West1,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
